,Customer Type,Class,Flight Distance,Seat Comfort,Inflight Wifi Service,Inflight Entertainment,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Satisfaction
124881,1,2,1888,3,4,3,5,0,0,1
76936,1,0,1167,2,2,2,3,47,50,0
33321,1,2,1886,4,2,5,3,0,0,0
106111,1,0,3154,4,4,4,1,1,18,0
45764,0,2,1397,2,5,2,3,94,106,0
23991,1,0,2275,3,5,4,3,75,84,0
113607,1,2,115,1,1,2,5,18,19,1
6258,1,0,1221,4,3,3,3,0,0,1
494,1,0,299,0,3,4,1,12,0,1
90119,1,2,2591,1,4,4,5,3,16,1
122891,1,0,1109,5,2,1,5,5,0,1
67780,1,2,3343,1,5,3,1,0,0,0
19175,1,0,2044,2,4,2,3,0,0,0
73996,1,2,563,2,5,3,2,24,19,0
20577,1,1,1281,4,4,5,1,0,0,1
77676,1,2,1522,2,3,2,3,43,43,0
8934,1,0,486,4,4,5,4,0,0,1
105873,1,0,1863,4,4,4,1,52,47,1
10856,1,0,1478,2,1,2,3,0,0,0
71346,1,0,1293,2,2,2,3,18,12,0
32639,1,0,1831,4,5,4,4,0,0,0
118779,1,2,1758,5,5,5,4,1,12,1
85580,1,2,3035,3,3,3,3,1,3,0
99438,1,2,2123,4,2,4,4,29,21,1
28258,1,0,2026,3,5,3,3,135,125,0
123466,1,2,1777,5,3,5,5,0,8,1
36572,1,0,1971,4,4,4,2,29,0,0
128896,1,2,1991,3,5,5,1,0,0,1
61452,0,2,1832,5,2,5,5,0,0,1
39223,1,0,495,5,3,4,4,0,0,1
127163,1,0,2329,5,5,5,1,0,3,1
10162,1,2,1085,4,4,4,2,0,5,1
39987,0,2,2165,0,5,0,4,0,0,1
68569,1,0,616,1,5,3,1,0,18,0
54982,0,2,1135,3,3,3,5,0,3,0
72275,1,0,1479,2,2,2,3,36,36,0
26450,1,2,487,5,5,4,5,25,8,1
55612,0,1,2493,3,4,4,3,1,0,0
61020,0,2,1104,4,2,4,5,29,53,0
103482,1,2,2920,4,4,4,4,0,0,0
45573,0,0,1507,2,5,2,3,0,16,0
54126,0,0,2380,3,1,3,4,0,17,0
56778,0,0,1300,4,4,4,4,0,0,0
96516,1,2,2008,5,5,5,4,7,0,1
25143,1,0,2517,3,3,3,3,0,0,0
21295,1,0,2460,3,1,4,4,0,16,0
39558,1,2,1515,5,4,5,3,0,0,1
94308,1,2,1780,2,4,5,4,0,0,1
25942,1,0,2001,4,5,4,5,115,114,1
74926,1,2,2959,2,3,4,2,29,15,0
10759,1,0,2584,1,3,4,4,70,64,1
86925,1,2,2427,4,3,3,4,0,0,0
54768,0,1,1636,3,2,3,1,0,2,0
35563,1,0,1275,4,3,4,5,9,2,0
97517,1,2,1507,1,4,4,4,0,0,1
85845,1,2,3390,1,2,1,3,8,0,1
16748,1,0,620,4,2,3,4,92,102,1
69343,1,0,1642,2,2,1,4,0,0,0
93703,1,0,514,4,5,2,4,0,0,1
45873,0,2,1781,2,3,2,4,2,0,0
127261,1,2,377,4,4,4,5,4,2,1
110264,1,2,1529,5,2,5,5,3,0,1
19607,1,0,1766,2,1,2,5,0,0,0
23066,1,0,2287,2,2,5,5,0,15,1
21050,1,0,2834,3,2,3,3,0,9,0
50601,0,0,1615,3,1,3,5,4,10,0
93369,1,2,2366,5,4,4,4,22,5,1
64146,1,0,1617,0,4,0,3,2,1,1
103630,1,2,3319,3,5,4,4,0,0,1
5908,1,2,1832,3,1,2,3,0,0,1
127287,1,2,2788,1,4,4,5,0,0,1
57944,0,2,2493,4,4,3,5,0,0,1
4714,1,0,1909,1,5,1,4,4,0,0
82656,1,2,2542,3,4,3,3,0,0,0
15032,1,0,1858,2,1,2,3,0,0,0
18185,1,0,576,3,5,5,4,0,0,1
16372,1,0,1820,2,3,1,5,12,0,0
109647,1,2,3484,1,2,5,4,2,0,1
121219,1,2,2223,3,2,2,5,0,0,1
34754,1,0,835,4,5,5,3,6,16,0
113400,1,0,3194,5,5,5,1,0,0,1
106297,1,0,1233,4,4,4,4,0,0,0
73209,1,2,2903,3,5,5,2,0,0,1
93915,1,2,3477,5,2,4,4,0,0,1
71394,1,0,1017,2,3,2,2,0,21,0
80996,1,0,2035,3,3,3,2,0,0,0
93738,1,2,1080,2,3,3,4,0,0,1
2945,1,0,1780,1,1,1,4,0,0,0
37028,1,0,2451,4,2,4,5,0,0,0
22112,1,0,2457,4,3,4,5,6,2,1
37678,1,0,1226,4,2,4,5,0,0,0
73854,1,2,2088,4,2,2,2,0,0,1
33656,1,0,699,4,5,4,2,0,0,0
55835,0,0,1435,3,2,3,1,0,0,0
49758,0,0,1886,2,4,3,3,0,0,0
23389,1,0,1707,4,5,5,2,41,76,1
95121,1,2,588,2,5,4,4,0,3,1
7374,1,0,2426,5,3,4,4,0,1,1
6691,1,0,1003,4,3,3,4,0,0,1
1966,1,1,1724,1,1,1,2,0,0,0
105017,1,2,2660,4,4,4,2,0,6,1
3756,1,1,2556,1,5,1,4,0,0,0
129345,1,2,3348,2,5,5,5,6,1,1
65590,1,2,201,0,5,3,5,47,57,1
107350,1,2,1140,2,4,4,4,0,0,1
2572,1,0,233,5,3,3,5,0,0,1
3175,1,0,2516,5,5,5,5,0,0,1
25157,1,1,3022,3,4,3,4,0,10,0
28470,1,0,1234,3,5,2,4,0,0,0
120644,1,2,1771,3,2,3,5,22,12,1
32436,1,0,976,4,4,4,3,0,0,0
86011,1,2,1984,3,2,3,3,10,10,0
31551,1,1,2417,3,2,3,5,0,23,0
65358,1,0,1534,0,1,0,3,10,2,1
119103,1,2,1882,2,5,5,5,0,14,1
88396,1,2,1697,2,2,5,3,0,6,1
98996,1,2,2884,2,2,5,4,0,0,1
20451,1,0,3096,4,5,5,4,0,0,1
58538,0,0,1971,4,5,4,5,0,0,0
32750,1,2,1457,4,3,0,4,0,0,1
129039,1,2,493,3,1,3,5,0,0,1
43854,0,0,1789,1,5,0,4,62,58,0
8375,1,2,1792,2,2,0,3,0,0,0
12288,1,0,3058,2,5,2,4,35,14,0
61369,0,0,2224,5,2,4,1,0,0,1
13950,1,0,806,4,5,5,4,0,0,1
60263,0,0,2795,4,4,4,3,0,2,0
63204,0,2,2303,5,4,5,4,0,0,1
83025,1,2,2364,3,4,4,3,96,84,0
29749,1,0,383,1,5,2,5,18,15,1
22167,1,0,2364,3,5,3,4,1,18,0
86579,1,1,1880,3,3,3,3,1,0,0
37186,1,2,266,4,4,3,5,69,66,0
58031,0,2,3170,4,3,3,4,0,0,1
119907,1,2,2557,5,2,5,5,0,0,1
111975,1,2,2665,1,2,5,4,3,0,1
67543,1,1,2762,1,1,1,3,25,17,0
127836,1,2,1649,1,4,5,5,0,0,1
42453,0,0,2241,1,4,1,3,0,0,0
126635,1,2,518,3,4,4,5,5,0,1
28246,1,0,1830,3,4,4,4,0,0,0
52895,0,2,2681,3,1,3,2,0,0,0
60964,0,2,1414,4,1,4,4,1,25,1
31500,1,1,1418,3,2,5,4,19,19,0
113480,1,2,2303,2,3,1,5,0,0,1
16226,1,0,1350,3,2,5,4,0,0,1
30655,1,0,1456,3,5,3,2,0,0,0
98247,1,2,1084,2,4,4,4,20,0,1
33053,1,0,1953,4,1,4,4,20,1,0
73826,1,2,1937,3,3,4,2,1,2,1
59855,0,2,2219,4,5,4,4,0,0,1
76806,1,2,1788,2,2,2,4,0,0,0
74962,1,2,3104,2,3,3,2,0,0,0
29284,1,0,1622,1,2,1,5,0,0,1
42451,0,0,2182,1,2,1,3,0,0,0
38450,1,0,1935,5,2,5,2,0,0,1
70209,1,0,2529,2,2,2,3,10,15,0
48555,0,1,1726,2,3,2,4,19,19,0
19541,1,0,389,1,5,5,5,0,0,1
40672,0,0,1956,0,1,0,5,0,0,1
128280,1,2,1184,4,5,5,5,12,0,1
33310,1,0,2227,4,3,3,3,28,20,0
114300,1,2,1391,2,2,5,5,14,5,1
70773,1,2,3270,3,2,2,5,0,0,1
102357,1,2,3178,4,3,4,4,0,5,0
100251,1,2,1785,4,3,5,4,10,0,1
58647,0,0,2052,4,2,4,5,77,69,1
125443,1,2,1867,5,4,4,5,4,0,1
73738,1,2,2039,2,1,4,2,1,0,0
101648,1,2,2996,2,5,5,4,60,58,1
125796,1,2,908,3,5,4,5,22,21,1
32401,1,0,1251,4,4,3,1,0,0,0
35459,1,0,301,4,1,3,2,0,0,1
110442,1,2,2499,3,3,5,5,1,0,1
115905,1,2,470,2,5,4,5,0,0,1
103369,1,2,1123,5,5,4,4,28,5,1
81885,1,2,1095,3,4,3,3,0,0,0
5089,1,0,2102,5,2,2,5,0,0,1
35010,1,0,3033,4,2,4,4,0,0,1
100165,1,2,3491,4,4,4,4,7,9,0
118759,1,2,636,5,3,4,5,42,36,1
108679,1,0,2620,4,4,4,4,0,0,1
124585,1,2,1242,3,5,5,2,0,0,1
81825,1,1,364,3,4,2,3,0,0,0
53598,0,2,1919,3,4,3,5,0,5,0
30789,1,1,1854,3,2,1,5,5,4,1
14986,1,1,2032,2,2,5,4,11,7,1
107816,1,2,1946,1,2,5,4,11,1,1
17355,1,0,1509,1,3,4,4,49,45,1
52152,0,0,1478,3,1,3,3,0,0,0
37141,1,1,1978,4,2,4,4,0,0,1
62767,0,2,1773,5,4,5,5,90,88,1
81235,1,0,1922,3,3,3,3,0,2,0
63442,0,2,2384,5,5,5,5,52,29,1
103487,1,2,1552,1,3,3,4,0,0,1
5987,1,0,2436,1,1,1,4,0,0,0
53232,0,2,1951,3,1,3,4,0,0,0
14812,1,0,2370,1,4,5,4,0,0,1
37151,1,0,1679,4,1,4,4,0,0,0
68385,1,1,2062,1,1,1,4,18,4,0
40933,0,0,2571,1,4,0,4,1,0,0
41033,0,0,1628,1,3,1,1,0,0,0
31276,1,0,2004,3,4,3,4,0,0,0
19993,1,0,2921,4,4,5,2,8,0,1
29713,1,0,1538,4,3,5,5,0,0,1
125918,1,0,542,5,2,1,5,0,1,1
111294,1,2,3031,5,5,5,4,9,9,1
106422,1,2,3226,1,3,4,4,37,44,1
6341,1,0,2468,1,1,1,5,0,0,0
32651,1,0,552,4,5,3,3,0,0,1
121354,1,2,2542,1,5,5,4,7,14,1
53493,0,2,1483,3,5,3,3,10,9,0
64380,1,2,2970,0,1,1,1,86,82,1
47959,0,0,1802,2,5,2,4,0,0,0
13240,1,0,562,1,3,5,4,0,0,1
61874,0,2,2022,5,5,5,1,0,0,1
48082,0,2,1619,2,1,2,5,0,0,0
40801,0,2,2163,0,2,0,4,15,1,1
97337,1,2,1627,1,3,5,4,0,0,1
11286,1,0,1243,5,5,5,4,0,0,1
122845,1,2,2911,2,4,5,5,0,0,1
32946,1,2,2306,4,2,4,4,0,0,0
57235,0,2,2955,4,4,4,5,4,0,1
121397,1,0,411,5,4,5,5,0,0,1
119799,1,2,337,5,3,4,5,0,0,1
55066,0,0,2118,3,1,3,1,6,0,0
99425,1,2,2925,3,2,5,4,0,0,1
52976,0,0,1933,3,3,3,5,0,0,0
68584,1,2,582,1,1,4,1,0,0,0
4119,1,0,3321,1,5,1,5,7,0,0
124145,1,2,3197,2,5,5,5,0,6,1
22689,1,0,1025,4,4,4,5,14,0,1
1680,1,0,2994,1,3,1,2,38,39,0
121968,1,2,1603,5,3,5,5,0,0,1
9957,1,0,1767,2,1,2,3,0,0,0
121437,1,2,1023,4,3,4,5,5,0,1
98462,1,2,1027,1,2,5,4,4,0,1
19554,1,0,1174,2,2,2,5,0,0,0
42295,0,0,2384,1,5,1,3,0,0,0
48589,0,0,2464,2,3,2,3,10,8,0
79652,1,2,1466,4,5,5,3,0,0,1
14561,1,0,205,5,4,4,4,0,0,1
105892,1,1,1613,4,4,4,4,31,47,0
99862,1,2,2282,5,4,4,3,0,8,1
5118,1,0,2219,1,4,1,4,15,6,0
95491,1,2,470,5,3,5,4,23,2,1
126198,1,2,2492,3,5,5,5,0,0,1
125189,1,0,590,5,1,5,5,0,0,1
31808,1,0,2877,3,5,4,5,6,21,0
65999,1,2,479,1,3,4,4,0,0,0
91324,1,2,1680,1,5,5,4,0,0,1
56797,0,2,885,4,3,4,4,9,6,0
39414,1,0,2799,5,5,5,4,0,0,1
94725,1,0,2603,4,4,4,2,67,52,1
20801,1,1,1912,4,4,5,4,0,0,1
64055,1,0,2210,0,3,3,5,5,0,1
42623,0,0,1406,1,1,1,3,2,29,0
128265,1,2,2074,4,4,4,5,0,0,1
35452,1,0,1667,4,1,4,5,0,0,1
21552,1,0,2138,3,5,5,5,9,6,1
20142,1,0,1366,3,3,3,5,0,0,0
97930,1,2,1236,5,3,5,4,8,1,1
116129,1,2,3412,3,2,4,5,0,0,1
46439,0,0,2391,2,2,2,3,0,0,0
18209,1,0,1714,4,2,5,4,0,0,1
129296,1,2,2038,3,4,4,5,0,0,1
7886,1,0,2220,1,4,2,4,0,0,0
19421,1,0,1940,4,4,4,5,15,5,1
42963,0,0,2240,1,3,1,4,8,36,0
114522,1,2,2311,1,3,4,5,0,10,1
105665,1,2,1801,5,3,4,4,96,113,1
31606,1,1,2119,3,2,3,4,12,2,0
96919,1,2,2353,5,5,4,4,0,0,1
49380,0,0,1932,2,2,2,2,0,0,0
47187,0,2,1837,2,3,2,4,0,0,0
95174,1,2,2057,2,4,5,4,0,0,1
44410,0,2,1547,1,4,1,3,0,2,0
60341,0,2,1903,4,5,4,4,0,3,0
115158,1,2,787,5,5,5,5,6,0,1
40306,0,2,1887,0,1,0,4,10,13,1
71161,1,2,1228,2,5,4,2,0,4,1
111450,1,2,1348,4,5,5,2,0,0,1
41208,0,0,1026,1,5,1,2,0,0,0
110578,1,1,1398,5,5,4,1,0,0,1
93336,1,2,2652,4,4,4,5,0,0,1
17294,1,0,2551,2,3,2,5,11,1,0
119919,1,2,2287,5,3,5,5,0,0,1
24709,1,2,2115,3,3,3,5,11,13,0
68103,1,0,1471,1,4,3,1,7,10,0
87447,1,0,1818,4,3,4,2,0,0,1
100532,1,1,1930,4,4,4,4,18,12,1
10980,1,0,1647,5,3,5,4,6,19,1
26996,1,0,2790,3,4,3,5,15,7,0
105004,1,0,1605,4,4,4,3,0,0,1
4730,1,0,988,1,1,1,4,0,0,0
43539,0,0,1726,1,2,1,4,16,6,0
70427,1,2,1753,4,4,4,2,10,0,1
15743,1,0,1891,4,4,4,1,0,0,1
116637,1,1,2487,5,5,5,5,0,0,1
36268,1,0,2438,4,3,5,4,5,16,1
125334,1,2,1908,2,5,5,4,66,54,1
52328,0,0,3213,3,3,4,1,0,4,0
25268,1,0,2499,3,3,3,5,24,29,0
79779,1,2,908,3,4,5,3,47,48,1
103587,1,2,2658,2,4,4,4,0,0,1
46465,0,2,1599,2,4,2,5,1,0,0
54245,0,0,2450,3,5,3,4,0,7,0
124039,1,2,323,1,5,4,5,0,0,1
125527,1,2,1033,1,4,4,5,5,0,1
25390,1,0,2160,3,2,3,5,25,77,0
46932,0,0,2018,2,4,2,3,0,0,0
17318,1,0,649,3,5,4,4,0,1,1
46035,0,2,2665,2,1,2,4,0,9,0
4736,1,0,200,1,3,5,2,11,3,1
76867,1,0,1647,2,2,2,4,5,6,0
127649,1,2,2069,2,3,4,5,0,0,1
72662,1,2,1239,2,2,4,2,1,0,0
80494,1,0,1656,3,3,3,2,34,27,0
118770,1,2,599,2,2,4,5,42,28,1
98123,1,2,1748,4,4,4,4,0,0,1
42497,0,1,1560,1,5,1,3,0,0,0
2306,1,0,1641,1,4,3,4,0,0,0
105495,1,2,2830,3,5,4,4,0,0,1
100508,1,0,2397,4,4,4,1,12,2,1
10622,1,0,2282,2,2,2,1,0,0,0
36866,1,0,3440,4,1,4,3,0,0,0
46024,0,0,2300,2,2,2,1,4,0,0
13381,1,0,1868,3,4,4,5,0,0,1
97085,1,2,2020,2,3,4,4,2,0,1
100924,1,2,2942,2,4,4,4,10,0,1
87653,1,2,264,1,3,5,3,21,20,1
95588,1,2,462,2,5,4,4,0,0,1
127001,1,1,1611,5,5,5,4,45,21,1
99284,1,0,1272,4,4,4,4,0,0,0
39668,1,0,444,5,4,4,4,0,0,1
123406,1,0,2775,5,5,5,4,0,0,1
12940,1,0,3400,2,2,2,5,0,0,0
61433,0,2,1420,5,2,5,4,4,0,1
34420,1,1,2247,4,1,4,3,1,0,0
60957,0,2,2413,4,2,4,5,13,3,1
71522,1,2,2740,2,5,5,2,6,0,1
50793,0,0,1540,3,5,3,1,0,0,0
114354,1,1,462,5,2,4,5,16,10,1
25852,1,0,2713,3,4,3,4,3,4,0
116804,1,0,2746,5,5,5,5,0,0,1
107078,1,2,2277,5,4,4,4,0,0,1
125622,1,2,963,4,4,3,5,0,0,1
6143,1,1,2011,1,4,1,5,0,1,0
30627,1,0,2117,1,3,4,5,0,0,1
44347,0,0,1935,1,3,1,1,0,0,0
120672,1,2,2594,1,5,5,5,0,0,1
89428,1,2,2467,1,4,4,4,0,0,1
121653,1,2,991,5,5,4,5,0,21,1
48851,0,0,2189,2,4,2,4,7,37,0
118251,1,2,877,1,3,4,5,0,0,1
33107,1,0,1389,4,4,4,3,0,0,1
83774,1,1,1123,3,3,3,3,37,22,0
72916,1,2,2993,2,2,2,3,0,0,0
13036,1,0,2365,2,4,2,5,1,0,0
45594,0,0,1603,2,1,2,3,0,0,0
95849,1,2,431,5,5,5,4,0,0,1
66303,1,2,700,1,1,2,1,33,16,0
124316,1,2,253,4,4,4,5,0,24,1
2633,1,0,1091,5,1,5,3,0,1,1
48639,0,0,1834,2,5,2,4,0,37,0
93894,1,2,1060,3,2,5,4,23,0,1
85634,1,2,477,3,3,4,3,0,0,0
42721,0,0,3221,1,1,3,1,0,13,0
101485,1,2,1957,3,4,4,4,0,0,1
7856,1,0,1508,1,2,5,3,8,6,1
26796,1,0,1123,3,4,3,3,0,0,0
111985,1,0,2625,5,4,5,2,2,11,1
71013,1,2,2137,3,2,3,2,0,0,1
68894,1,2,1820,1,4,4,1,0,0,0
17601,1,0,137,2,2,5,4,0,0,1
99281,1,1,1950,4,4,4,5,10,12,1
71105,1,2,1516,2,2,1,2,0,2,0
59582,0,0,1703,4,3,4,4,3,0,0
20166,1,1,1629,1,3,4,4,0,0,1
5367,1,0,2181,1,5,1,5,32,34,0
121654,1,2,973,1,5,5,5,28,2,1
116262,1,2,1388,2,5,5,5,16,9,1
52085,0,1,1875,3,3,3,4,5,6,0
78824,1,2,1633,1,4,5,2,9,0,1
111093,1,2,416,4,2,4,5,58,50,1
120182,1,2,3241,1,5,2,5,0,0,1
18902,1,0,788,5,2,1,4,1,0,1
122442,1,2,2279,3,3,1,5,0,0,1
40671,0,2,1813,0,2,0,5,0,1,1
30649,1,0,1641,3,3,3,5,58,72,0
54157,0,0,2371,3,5,3,3,0,0,0
35482,1,0,1689,4,3,4,4,2,0,0
46533,0,2,2125,2,3,2,4,0,0,0
22918,1,0,588,5,5,5,3,0,0,1
69995,1,0,1350,2,1,2,3,0,0,0
81840,1,2,1134,3,1,3,3,0,18,0
28115,1,0,2715,5,4,5,5,0,4,1
24192,1,0,1811,3,2,2,1,78,65,0
123425,1,0,1933,5,5,5,5,0,0,1
98684,1,0,837,4,3,2,4,0,0,1
60710,0,0,2340,4,2,4,2,1,0,0
84239,1,0,1041,3,5,3,3,0,0,0
67519,1,1,1691,1,1,1,4,0,10,0
40611,0,0,1788,0,4,0,5,0,3,1
105838,1,2,2315,4,4,4,4,0,1,1
125049,1,2,1533,5,4,5,5,10,3,1
45907,0,0,2964,2,1,2,3,0,10,0
44945,0,0,1571,2,4,2,3,0,5,0
52038,0,0,2136,3,1,3,4,22,28,0
79552,1,2,3083,2,5,4,4,0,6,0
100345,1,1,619,4,1,3,4,3,0,1
29071,1,0,1799,3,3,3,4,18,40,0
95774,1,2,1883,3,2,4,4,0,0,1
19559,1,0,1784,5,5,4,2,0,0,1
53459,0,2,3156,3,2,3,5,0,0,0
124295,1,1,1759,5,5,5,3,0,0,1
113812,1,1,2122,5,5,5,2,0,0,1
84364,1,2,1418,3,2,3,3,0,0,0
103439,1,0,396,4,3,3,4,0,0,0
25460,1,0,404,2,5,4,5,20,15,1
15446,1,0,218,4,3,5,4,30,25,1
42722,0,0,1647,1,1,4,3,64,71,0
24798,1,0,476,4,5,5,5,0,0,1
29391,1,0,2001,3,4,3,5,3,8,0
83076,1,2,1718,3,3,3,3,29,14,0
77425,1,1,1505,2,2,2,3,29,54,0
47353,0,2,2463,2,3,2,4,7,0,0
12768,1,2,274,2,4,4,3,0,0,0
51015,0,0,1751,3,3,3,5,0,0,0
13729,1,0,2463,5,4,4,4,12,0,1
31938,1,2,1577,3,4,3,4,28,36,0
69756,1,0,1871,2,1,2,4,0,11,0
9252,1,0,1902,2,1,2,3,9,29,0
93853,1,2,1711,5,5,5,4,0,0,1
19321,1,0,2808,2,3,2,3,1,0,0
104538,1,0,2138,4,4,4,2,79,77,1
63219,0,2,1389,5,2,5,4,0,0,1
70679,1,1,267,2,3,2,2,28,21,1
17204,1,0,2474,2,2,2,4,0,10,0
19633,1,1,1102,2,3,5,5,0,0,1
32412,1,1,2366,4,4,4,3,15,33,0
45603,0,2,2477,2,4,2,3,0,0,0
61957,0,2,1833,5,2,0,2,0,0,1
9090,1,1,2530,2,1,2,4,0,0,0
70872,1,0,2893,2,2,2,5,47,57,1
43723,0,1,1887,1,5,1,5,0,0,0
59117,0,0,1645,4,4,4,4,102,85,0
98639,1,2,992,4,5,5,4,0,0,1
35924,1,0,1905,4,1,4,3,9,22,0
90473,1,2,1897,4,4,5,4,4,0,1
53312,0,2,1629,3,4,3,5,0,0,0
4416,1,2,1983,0,5,2,5,64,63,1
29392,1,2,1045,4,5,5,5,0,21,1
10282,1,0,1832,4,4,4,4,12,9,1
28914,1,0,2275,3,2,3,4,15,24,0
21809,1,0,1885,3,1,3,3,14,0,0
117133,1,2,2446,2,5,5,3,3,19,1
86014,1,2,2124,3,5,4,3,24,24,0
10238,1,0,1719,4,4,4,3,16,13,1
68287,1,0,2429,1,1,1,4,0,0,0
36001,1,0,298,4,4,3,4,0,0,0
81622,1,2,1304,3,5,3,3,10,0,0
5748,1,0,1998,1,2,0,5,0,0,0
114226,1,2,1529,4,4,3,5,3,14,1
17122,1,0,2233,4,4,4,5,9,9,1
75372,1,2,3323,2,2,2,3,0,0,0
80633,1,2,689,3,3,1,3,0,3,0
66974,1,1,1967,1,1,1,3,9,11,0
115533,1,2,644,2,5,5,5,0,8,1
8444,1,0,3306,2,4,2,2,10,0,0
101860,1,2,3457,3,2,4,4,0,0,1
116339,1,2,2161,1,3,5,5,4,29,1
96546,1,1,1205,4,4,4,1,0,0,1
116429,1,2,3092,2,3,5,5,0,0,1
89275,1,0,1839,3,3,4,3,14,17,0
16741,1,0,1853,2,3,5,4,0,0,1
14134,1,0,2341,2,2,2,4,12,11,0
24614,1,0,2510,3,2,3,1,0,1,0
24355,1,0,1732,4,5,5,4,0,0,1
58195,0,2,2898,4,5,4,5,3,33,1
112954,1,2,2508,1,4,5,4,2,14,1
35638,1,0,2615,4,4,4,4,0,2,1
90754,1,2,3378,5,1,4,4,0,0,1
27660,1,0,221,5,4,4,5,0,0,1
79316,1,2,3018,2,4,2,3,72,109,0
35057,1,0,2840,4,1,4,5,0,2,1
114130,1,2,1654,3,3,5,5,17,37,1
93273,1,2,1632,5,3,4,4,0,0,1
118311,1,0,2790,5,5,5,4,0,0,1
76079,1,0,2040,2,2,2,4,30,57,0
31073,1,0,1996,3,2,3,5,0,0,0
127552,1,2,1575,3,3,5,5,0,0,1
47594,0,0,1793,2,2,2,3,44,61,0
66744,1,2,1920,1,2,3,1,0,0,0
48839,0,0,2244,2,3,2,4,0,12,0
36360,1,0,1438,4,3,0,5,0,0,0
329,1,0,2153,0,1,0,4,0,0,1
12253,1,0,2772,2,3,2,5,0,0,0
117884,1,2,2939,1,5,4,5,0,13,1
12040,1,0,2240,2,5,1,2,0,0,0
74408,1,1,2047,2,2,2,2,36,19,0
28786,1,0,2147,3,5,3,4,0,0,0
14295,1,0,1424,2,4,2,4,0,0,0
4598,1,1,1912,4,4,4,2,0,0,1
44365,0,0,2136,1,3,2,1,0,0,0
1907,1,0,604,4,2,4,4,0,0,1
127570,1,2,272,2,4,2,5,0,0,1
58785,0,2,1802,4,3,4,4,0,0,0
25141,1,0,2512,3,4,3,5,6,0,0
73078,1,2,3118,2,2,4,2,0,0,1
13282,1,0,1495,4,4,4,5,34,23,1
25297,1,0,722,5,4,2,5,0,0,1
59580,0,2,1732,4,5,4,4,0,0,0
105438,1,2,483,4,5,3,4,29,29,0
53194,0,0,2212,3,4,3,4,0,0,0
67492,1,2,2273,1,4,3,1,0,18,0
24287,1,0,2068,5,4,4,5,0,0,1
98319,1,0,282,4,2,4,4,0,6,1
85449,1,0,2158,3,3,3,4,0,0,0
19918,1,0,1513,2,3,5,1,0,0,0
4465,1,1,2011,1,3,1,3,45,29,0
67219,1,1,601,1,4,4,1,45,48,0
108255,1,2,1675,3,1,5,4,0,0,1
106823,1,2,3227,1,4,3,4,4,0,1
26118,1,0,2008,3,2,3,4,15,9,0
117586,1,2,1243,2,5,4,5,0,0,1
56675,0,2,2146,4,5,4,4,5,0,1
27557,1,0,1779,2,5,4,5,0,0,1
102364,1,2,2629,4,4,5,4,0,0,1
27340,1,0,1352,3,2,4,5,0,0,1
93800,1,2,1563,3,5,4,4,1,0,1
63049,0,2,1702,5,3,5,4,0,0,1
108055,1,2,1662,5,4,4,3,0,0,1
